,author,title,desc,format
0,Shannon Delany,13 to Life,"Everything about Jessie Gillmansen’s life changed when her mother died. Now even her hometown of Junction is changing.  Mysterious dark things are happening. All Jessie wants is to avoid more change. But showing a hot new guy around Junction High, she’s about to discover a whole new type of change. Pietr Rusakova is more than good looks and a fascinating accent—he’s a guy with a dangerous secret. And his very existence is sure to bring big trouble to Jessie’s small town.It seems change is the one thing Jessie can’t avoid.",0
1,Jamie Ayres,18 Things,"Olga Gay Worontzoff thinks her biggest problems are an awful name and not attending prom with Conner, her best friend and secret crush since kindergarten.Then, Conner is killed in a freak boating accident and Olga feels responsible for his death.When she downs an entire bottle of pills to deal with the emotional pain, her parents force her into counseling. There, her therapist writes a prescription in the form of a life list titled “18 Things”: eighteen quests to complete the year of her eighteenth birthday.But there’s more to Olga’s quests than meets the eye and when her therapist reveals a terrifying secret, her world is shaken.There’s only one thing she knows for certain: her choices won’t just affect her future, but all eternity.",0
2,Jocelyn Davies,A Beautiful Dark,"On the night of Skye’s seventeenth birthday, she meets two enigmatic strangers. Complete opposites—like fire and ice—Asher is dark and wild, while Devin is fair and aloof. Their sudden appearance sends Skye’s life into a tailspin. She has no idea what they want, or why they seem to follow her every move—only that their presence coincides with a flurry of strange events. Soon she begins to doubt not just the identity of the two boys, but also the truth about her own past.In the dead of a bitingly cold Colorado winter, Skye finds herself coming to terms with the impossible secret that threatens to shatter her world. Torn between Asher, who she can’t help falling for, and Devin, who she can’t stay away from, the consequences of Skye’s choice will reach further than the three of them could ever imagine.A Beautiful Dark is the first book in a captivating trilogy by debut author Jocelyn Davies.",0
3,Lynsay Sands,A Bite to Remember,"Rule #1: Never get involved with someone who won't be there for you when the sun comes up.Once bitten, twice shy, and sexy PI Jackie Morrisey wasn't going there again. Vincent Argeneau may be the hottest guy she's ever met, living or dead, but she's here to stop a killer from turning this vampire into dust, not to jump into bed with him.Rule #2: Never kiss a vampire . . . it can be a pain in the neck.Okay, so Vincent's had four hundred years to perfect his kissing skills, and he does look rather tempting when he runs around the house shirtless. He's also charming, protective . . . did we mention he can kiss? Jackie needs to be on her guard, or else she'll have to come up with a new rule: If you're going to fall in love with a vampire, make sure it's a bite to remember.",0
4,Veronica Blade,A Bite's Tale (A Furry Fable),"A Cinderella who spends her nights as a wolf. A prince with a taste for blood.  Seventeen year old Cydney struggles against her werewolf nature, trying to keep everyone around her safe. No way will she risk exposing the beast at the prince's ball, no matter how her two cousins try to persuade her. As she attempts to carve out some semblance of a life, Cydney can't forget the boy she loved three summers ago - or what she did to him after losing control.  Turned into a vampire to save his life, the prince refuses to live up to his royal duties. He just wants to find the girl he loved and lost...the werewolf girl who bit him. But his father, the king, commands him to attend a ball where he must choose a wife. Can he find his Cinderella before he's forced to marry another? He doesn't even have her real name, much less a glass slipper.",0
5,Bella Forrest,A Blaze of Sun,"Welcome back to The Shade... ""Of course you know who I am. I'm a daughter of the darkness just as surely as you are his son..."" Ever since his brief encounter with Emilia at The Shade, Derek's thoughts and dreams have been haunted with images of the mysterious, beautiful brunette. Plagued with guilt, he struggles to understand why he is so drawn to this dark stranger from his past. When Emilia suddenly appears again on the island, Derek is both terrified and intrigued. But this time, he is determined to involve Sofia and discover who this woman is. If only Derek and Sofia knew, Emilia is a mystery that should be left undiscovered...",0
6,Bella Forrest,A Bond of Blood,"Derek will rip Caleb's heart out the moment he lays eyes on him for what he's done.Rose is convinced that the vampire is innocent. But my daughter has been fooled. Nobody but Caleb could have stolen away our dear friend.I gaze out at the dark waters rushing past us in the submarine, as we speed closer and closer toward our destination...Are you ready to once again lose yourself in The Shade?",0
7,Bella Forrest,A Break of Day,"The greatly anticipated conclusion to Derek and Sofia's journey!Everything Sofia believed to be true has crumbled before her very eyes...In this explosive finale, secrets will be revealed, loyalties tested and trust broken.Are you ready to return to The Shade?",0
8,Alyxandra Harvey,A Breath of Frost,"In 1814, three cousins—Gretchen, Emma, and Penelope—discover their family lineage of witchcraft when a binding spell is broken, allowing their individual magical powers to manifest. Now, beyond the manicured gardens and ballrooms of Regency London, an alluring underworld available only to those with power is revealed to the cousins. By claiming their power, the three cousins have accidentally opened the gates to the underworld.  Now ghouls, hellhounds—and most terrifying of all, the spirits of dark witches known as the Greymalkin Sisters—are hunting and killing young debutante witches for their powers. And, somehow, Emma is connected to the murders…because she keeps finding the bodies.  Can the cousins seal the gates before another witch is killed…or even worse, before their new gifts are stripped away?",0
9,Bella Forrest,A Bridge of Stars,The explosive finale of Ben and River's story!!!,0
10,Laurell K. Hamilton,A Caress of Twilight,"
“I am Princess Meredith, heir to a throne—if I can stay alive long enough to claim it.” 
After eluding relentless assassination attempts by Prince Cel, her cousin and rival for the Faerie crown, Meredith Gentry, Los Angeles private eye, has a whole new set of problems. To become queen, she must bear a child before Cel can father one of his own. But havoc lies on the horizon: people are dying in mysterious, frightening ways, and suddenly the very existence of the place known as Faerie is at grave risk. So now, while she enjoys the greatest pleasures of her life attempting to conceive a baby with the warriors of her royal guard, she must fend off an ancient evil that could destroy the very fabric of reality. And that’s just her day job. . . .From the Paperback edition.",0
11,Bella Forrest,A Castle of Sand,"What Sofia has with Derek feels like a sandcastle; temporary and something that the waves of life and time will soon ruin...Since the return of Gregor Novak, the island has turned several shades darker. His hatred toward Sofia and thirst for fresh blood lead to a brutal war igniting between father and son. Meanwhile, the hunters are gaining formidable strength and resources by the day; they know that the safety of The Shade hangs entirely on its ability to remain hidden from them. And a sinister secret lies in wait for Sofia within the bowels of an Egyptian desert... a secret that threatens to crush her sandcastle much sooner than she could have expected.",0
12,Laura Whitcomb,A Certain Slant of Light,"In the class of the high school English teacher she has been haunting, Helen feels them: for the first time in 130 years, human eyes are looking at her. They belong to a boy, a boy who has not seemed remarkable until now. And Helen--terrified, but intrigued--is drawn to him. The fact that he is in a body and she is not presents this unlikely couple with their first challenge. But as the lovers struggle to find a way to be together, they begin to discover the secrets of their former lives and of the young people they come to possess.",0
13,S.L. Baum,A Chance for Charity,"A new family has just arrived in the isolated mountain town of Telluride, Colorado. Welcome the Johnstons - Jason (a doctor), Rachel (a designer), and their niece Emily (a current High School Senior).Emily has lived the life of a quiet loner in the past, trying to go unnoticed. But with Telluride being such a small and welcoming town, she finds a group of friends at school almost immediately. When Emily meets Link (another new transplant in town) her world turns upside down. She doesn't understand why she feels a magnetic pull toward him, or why she unknowingly lets her guard down around him. Link is just as confused by his own need to be with her.Emily knows she is playing with fire. She should be doing whatever she can to keep herself isolated, to keep Link from getting too close. Danger has a way of finding Emily's family - that is what keeps them on the move. They arrive in a new town every few years - it is safer that way.Because... Emily isn't really Emily... her real name is Charity - and Charity has an even bigger secret. Charity and her family are not like other people, they have ""skills"" that mere mortals cannot begin to comprehend.Before long, Charity is struggling with the reality that her two lives are coming closer to each other with each passing day. Soon Link will find himself wrapped in a supernatural world that he never knew existed - and discover that mortals are not the only beings that walk this earth.",0
14,Cassandra Clare|José Luís Luna,A Cidade dos Ossos,"No Pandemonium, a discoteca da moda de Nova Iorque, Clary segue um rapaz muito giro de cabelo azul até que assiste à sua morte às mãos de três jovens cobertos de estranhas tatuagens.Desde essa noite, o seu destino une-se ao dos três Caçadores de Sombras e, sobretudo, ao de Jace, um rapaz com cara de anjo mas com tendência a agir como um idiota...",0
15,Bella Forrest,A Clan of Novaks,"A new era has dawned for the Novak clan. An era in which The Shade has become such a fortress that threats to the island are no longer possible. They have become protectors; fighters, warriors, every one a hero. Witness the Novaks in all their strength and in all their glory. In all their love and all their friendship. Embark on a breathtaking new journey with an exhilarating fresh romance, while reuniting with all your favorite characters and meeting exciting new ones.A Clan of Novaks is the beginning of a BRAND NEW adventure that will have you swooning, gushing, and clinging to the edge of your seat!It releases April 5th, 2016.Don't miss it! Pre-order your copy NOW. ",0
16,Bella Forrest,A Clash of Storms,The electrifying GRAND FINALE of Season 6!Pre-order now! ,0
17,Cecy Robson,A Cursed Embrace,"Celia Wird and her three sisters are just like other twenty-something girls—with one tiny exception: They are the products of a curse that backfired and gave each of them unique powers that made them, well, a little weird…After Celia Wird and her sisters help master vampire Misha save his family, their powers are exposed to the supernatural community of the Lake Tahoe region. But fame comes at a price, and being “weird” isn’t always welcome.To make matters worse, Celia desires the love of Alpha werewolf Aric, but his pack is bent on destroying their relationship to preserve his pureblood status. And once weres start turning up dead—with evidence pointing to the vampires—she must face the prospect of losing Aric forever. But the chaos only masks a new threat. An evil known as the Tribe has risen—and their sights are set on Celia and her sisters.",0
18,Margaret Foxe,A Dark Heart,"A Dark Heart Book Two in The Elders and Welders Chronicles London, 1897: Lady Christiana Harker once committed a grave sin against her kind when she saved Inspector Elijah Drexler's life by turning him into a vampire. Christiana's bold act has only driven Elijah deeper into an impenetrable darkness, fueled by morphine, nightmares, and a constant thirst for blood. Elijah has no room left in his heart for anything but his quest for vengeance against his childhood tormentor, a quest that he fully expects to end with his own death. But when the mysterious Duke of Brightlingsea requests Elijah's help in locating a doomsday device that could level half of London, Elijah's personal vendetta becomes entangled with a secret war being waged among the immortal Elders. Just when Christiana finally accepts that her long-held love for the Inspector will forever be unrequited, however, a catastrophe brings them together, forcing Elijah to finally confront his feelings for Christiana. But will Christiana's love be strong enough to weather the terrible truths buried deep in Elijah's past? And will Elijah find the strength of will to finally cast off his demons and let love into his dark heart? This Victorian steampunk romance is recommended for adult audiences.",0
