,artist,title,words
0,Cinderella,All Comes Down,"Everybody thinks it's so easy
Everybody thinks it's so fine
But everytime I get a little closer to the top
I find myself at the end of the line

You take a slow ride up
And a fast one down
Nothin's gonna stop you spinnin' round and round and round

Everybody's talkin' at me
But nothin's soundin' right
They say my future's lookin' brighter
But I don't see no light
I got a bottle of hurricane
It gets me high as a kite
Now the rain's pissin' down
And the storm is in sight
When the shit hits the fan
You gotta stick to the fight

Everybody says the world owes me
Everybody wants a free ride
Well let me tell ya mister
If you never raise a blister
Then you might as well have laid down and died

'Cause you ain't gettin' out what you don't put in
You're never gonna make it if your head is in a spin
                                                             
Everybody's talkin' at me
But nothin's soundin' right
They say my future's lookin' brighter
But I don't see no light
I got a bottle of hurricane
It gets me high as a kite
Now the rain's pissin' down
And the storm is in sight
When the shit hits the fan
You gotta stick to the fight

Can you feel the heat, yea
Comin' down on you
When it all comes down
When it all comes down watcha gonna do
Feel it comin' down on you now
When it all comes down
When it all comes down
When it all comes down
When it all comes down

Oh, yeah
When it all comes down
Can ya feel it, feel it, feel it comin' down on you, yea
Can ya stick to the fight when the heat's comin' down on you
When it all comes down
Ah, take me
When it all comes down
When it all comes down, yea"
1,Cinderella,Back Home Again,"I hit the road wide open at seventeen
Mama cried herself to sleep
Lost a dad I'd never seen
Took all my childhood friends
Guitar, and a dream
Some say I got it bad
I say I've got the cream

No, no, no
I roll into town and I'm spinnin' my wheels to black
Go, go, go
I hit the stage and you make me feel like I'm back

I'm back
Back home again
I'm back
Back home again
I'm back
Back home

I worked from nine to five at twenty-two
Felt good to stay alive
Good times were far and few

Trustin' my hopes and dreams
With someone who said they knew
Just how to make ends meet
They haven't got a clue

No, no, no
I rolled into town and I'm spinnin' my wheels to black
Go, go, go
I hit the stage and you make me feel like I'm back

I'm back
Back home again
I'm back
Back home again
I'm back
Back home again
I'm back
Back home
Take me back

I'm back
I'm back
Back home again
I'm back
Back home again
I'm back
Back home again
I'm back
Back home"
2,Cinderella,Bad Attitude Shuffle,"When I get up in the morning
Got a world of trouble on my mind
And nothin' seems too easy
When your clock's tickin' quarter to five
Make my way down to the door
Can't put my troubles on no shelf
Cause when nobody worries for you
You got to worry for yourself

Cruisin' in my four wheels
It's got everything I need inside
Think I'll stop and fill it up for the ride
Man said that be twenty dollars
Mister, by the way how's your health
I said mister here's your money
Now you keep your questions for yourself

And it's my life that I'm livin'
Wouldn't want to be no one else
So if you don't like how I dot it
Ya better keep it to yourself
Kick it in
When I get up in the morning
Got a world of trouble on my mind
And nothin' seems too easy
When your clock's tickin' quarter to nine
Make my way down to the door
Can't put my troubles on no shelf
Cause when nobody worries for you
You got to worry for yourself

And it's my life that I'm livin'
Wouldn't want to be no one else
So if you don't like how I do it
Ya better keep it to yourself

And it's my life that I'm livin'
Wouldn't want to be no one else
So if you don't like how I do it
Fuckin' keep it to yourself"
3,Cinderella,Blood from a Stone,"Well I've been walkin'
Down a one way dirty street
Tryin' to find the answers
And I've been hopin'
For a chance to meet
The rat that spread the cancer

And the lies they've been spinnin'
And the smiles they've been grinnin'
There has sure been some sinnin'
But nobody's winnin'
When the walls start to crumblin'
You feel like you're stumblin'
And nobody wants you when you're down

They took the boy from the city
But they can't take the city from
the boys lookin' pretty
Now he's lookin' like a pity
Cut the flesh down to the bone
But you can't get
You can't get blood from a stone
You can't get blood from a stone

Well I'm a rollin'
But my train's gone off the tracks
and my wheels are spinnin'
And I'm a walkin'
Down a one way dirty street
But my heart's not sinkin'

From the love they've been buyin'
And the blues they've been cryin'
Now the time keeps a flyin'
But nobody's tryin'
Cause the love of the money
Didn't turn out so sunny
When the well's dry
No one comes around

They took the boy from the city
But they can't take the city from the
Boys lookin' pretty
Now he's lookin' like a pity
Cut the flesh down to the bone
But you can't get
You can't get from a stone

You can try
But I still got the fight in my eyes
Suck it dry
Cause I've had about enough of your lies

They took the boy from the city
But they can't take the city form the
Boys lookin' pretty
Now he's lookin' like a pity
Cut the flesh down to the bone
But you can't get blood from a stone

They took the boy form the city
But they can't take the city from the
Boys lookin' pretty
Now he's looking like a pity
Cut the flesh down to the bone
But you can't get
You can't get blood from a stone"
4,Cinderella,Coming Home,"I took a walk down a road it's the road I was meant to stay
I see the fire in your eyes but a man's gott make his way

So are you tough enough for my love
Just close your eyes to the heaven above
I'm comin home, I'm comin home

I took a ride in a world I'll be spinnin for the rest of my life
I feel your heart beating baby
Ooh sometimes it cuts like a knife

So are you tough enough for my love
Just close your eyes to the heaven above
I'm comin home, I'm comin home

I'm coming home where your love tonight can shine on me
I'm coming home where your loving arms can set me free

I took a walk down a road it's the road I was meant to stay
I see the fire in your eyes but a man's gotta make his way

So are you tough enough for my love
Just close your eyes to the heaven above
I'm comin home, I'm comin home"
5,Cinderella,Dead Man's Road,"When I was young, old man sat me on his knee
He told me if I had a dream, I could be what I want to be
Now life goes on a voice echoes in the wind
It's telling me to carry on, now I know that it's him

[Chorus]
He said whoa, watch out boy 
Don't go messing with your life cause it ain't no toy
Lord help ya to carry life's load
It could all pass you by down on dead man's road

Now I got a good woman 
Ya know she's looking out for me
And if I get a little blind ya know she helps me to see
But I gotta keep running because they're catching up to me
I think I hear that voice again, this time it says to me

[Chorus]

When I was young old man sat me on his knee
He told me if I had a dream I could be what I want to be
Now life goes on a voice echoes in the wind
It's telling me to carry on now I know that it's him

[Chorus x2]"
6,Cinderella,Don't Know What You Got ('Til It's Gone),"I can't tell ya baby what went wrong
I can't make you feel what you felt so long ago
I'll let it show
I can't give you back what's been hurt
Heartaches come and go and all that's left are the words
I can't let go
If we take some time to think it over baby
Take some time, let me know
If you really want to go

[Chorus]
Don't know what you got till it's gone
Don't know what it is I did so wrong
Now I know what I got
It's just this song
And it ain't easy to get back
Takes so long

I can't feel the things that cause you pain
I can't clear my heart of your love it falls like rain
Ain't the same
I hear you calling far away
Tearing through my soul I just can't take another day
Who's to blame
If we take some time to think it over baby
Take some time let me know
If you really wanna go

[Chorus]

Do you wanna see me beggin' baby
Can't you give me just one more day
Can't you see my heart's been draggin' lately
I've been lookin' for the words to say

[Chorus: x2]"
7,Cinderella,"Easy Come, Easy Go","I¹m running free
But I ain¹t got no time to fly
And I can see
But tomorrow maybe I¹ll be blind
I met a man with a cup
Looking pretty beat up
He stared straight into my eyes
He said today you may be rich
But tomorrow you¹ll be poor
And the next day you could die
I said it¹s easy come
And it¹s easy go
Don¹t go cryin on my shoulder
Cause I won and I lost
More than you could know
I always find a way
To make it through another day
Cause when all you got¹s
Your pride
Ain¹t nobody gonna take it away
I¹m moving fast always feeling two steps behind
Forget the past
Cause it¹s the only way to ease my mind
Some fortune telling lady
With her face a little crazy
Stared straight into my eyes
She said I¹d love to help you son
But this one you can¹t out run
I sure as hell
Can give it a try
Cause it¹s easy come
And it¹s easy go
Don¹t go crying on my shoulder
Cause I won and Lost
More than you could know
I always find a way
To make it through another day
Cause when all you got¹s
Your pride
Ain¹t nobody gonna take it away
Take it one breath at a time
Cause we¹re all just walkin the line
I¹ll be doin just fine
When tomorrow¹s out of sight and out of mind
Cause it¹s easy come
And easy go
Don¹t go cryin on my shoulder
Cause I won and lost
More than you could know
I always find a way
To make it through another day
Cause when all you got¹s
Your pride
Ain¹t nobody gonna take it away, yea
Cause it¹s easy come
And it¹s easy go"
8,Cinderella,Electric Love,"When I was down
An angel came to me
And she touched me inside
That woman set me free
Turned on the light
So I could see
That there was fire inside
And I could feel the heat

She's got the power, she gets me high
She can take a storm and make it shine
She keeps the spark burning over time
That woman's got electric love

Ooo, electric love
There ain't no medicine
That makes me fly
Like when I'm with my sweet woman
She keeps me so satisfied
And if we had no money
We'd still get by
And if the world should stop turnin'
Our love would be alive

She's got the power, she gets me high
She can take a storm and make it shine
She keeps the spark burning over time
That woman's got electric love
Look out

She's got the power, she's gets me high
She can take a storm and make it shine
She keeps the spark burning over time
That woman's got electric love

Whoa yeah
She gets me high, so high
Ooo yeah, she makes the stars shine
Burning all the time
That woman's got electric love

Electric love
Electric love
She's got the fire
She's got the fire
Electric love
Electric love
Electric love"
9,Cinderella,Fallin' Apart at the Seams,"Old man looks much younger now
He lost his strength, respect somehow
Look in the mirror at what I found
It's just the past and it's over now

Ooh, it's over now
Ooh, it's over now

My heart's like a wheel
Head's just a stone
I got my memories
Ain't got no home

(Fallin')
Ooh, fallin' apart at the seams
(Fallin')
Ooh, yeah, fallin' apart at the seams

Old friends seem much closer now
They stand the test of time somehow
Look at the winner who hit the ground
It comes around and then it goes back down

Ooh, it's over now
Ooh, it's over now

My heart's like a wheel
Head's just a stone
I got no memories
Ain't got no home

(Fallin')
Ooh, fallin' apart at the seams
(Fallin')
Ooh, yeah, fallin' apart at the seams

My heart's like a wheel
Head's just a stone
I got my memories
Ain't got no home

(Fallin')
Ooh, fallin' apart at the seams
(Fallin')
Ooh, yeah, fallin' apart at the seams

(Fallin')
I'm fallin' fallin'
(Fallin')
Ooh, yeah, ooh, yeah

"
10,Cinderella,Fire and Ice,"And do ya feel like I feel
When I want you baby
Inside can't ya hide
Cause it's scratchin' right through
Come on
And take it easy, nowhere to go
She'll take ya fast and she'll take ya slow

Like fire and ice
She'll take your heart away
Fire and ice
She'll take your breath away

And when ya shake for me, shake for me
Shake for me ooo yea
Ya take me down and around
When ya do what ya do
Come on
And take it easy, nowhere to go
She'll take ya fast and she'll take ya slow

Like fire and ice
She'll take your heart away
Fire and ice
She'll take your breath away

Don't let me down
I couldn't take it this time
Don't kick me round
I'll kick you out of my mind
Take it

Fire and ice
Fire and ice

Fire and ice
She'll take your heart away
Fire and ice
She'll take your breath away

Fire and ice
She'll take your heart away
Fire and ice
She'll take your breath away fire and ice
She'll leave ya breathless
Fire and ice"
