,artist,title,words
0,Badlands,3 Day Funk,"Three day funk
Remember the times, sunshine in our eyes
We were caught up in the summer shade
Those were the days, like a gentle sleeping baby
We would watch the ocean wash the sun away
Livin' free was so easy, honey, honey
Those sunny days can never fade away
'Round and 'round and 'round time passes by so fast
Hey, hey, hey
The memory's all I know
And they're long gone for me
Her memory's holding on
But they're long gone for me
Sippin' my wine under the moonshine blanket
With my baby rollin' under the stars
Terrible lies we would tell one another, oh yeah
Hey, hey, hey
Livin' free was so easy, honey, honey
Those sunny days can never fade away
'Round and 'round and 'round time passes by so fast
Hey, hey, hey
The memory's all I know
And they're long gone for me
Her memory's holding on
And they're long gone for me, yeah
The memory's all I know
And they're long gone for me
Her memory's holding on
But they're long gone for me
The memory's all I know
And they're long gone for me
Her memory's holding on
But they're long gone for me
Yeah, yeah
All they're long gone
Hoo, Hoo, Hoo, Hoo
Livin' free, livin' free, livin free my baby, now alright
I need a woman
Woman, oh woman, oh woman, oh woman
Aaaahh, haaaaEmbedShare Url:CopyEmbed:Copy"
1,Badlands,Ball & Chain,"Alright
Hey now won't ya listen about a tale of a heartbreak queen
The kind of girl that makes Bogie fall on a late night movie screen
She wraps a look around ya turns a wise man to the fool
Lord, save my soul 'cause I feel like I'm fallin' through
I said yeah, alright
Gimme that ball and chain now
I hear the sound of sweet and rumble, every time that she walks on by
Your song keeps burnin' in my ears makes me wanna crawl deep inside
Sweet jesus, it gives me trouble, something I don't understand
The girl has got a chain around my heart, help me, Jesus, to the promise land
Alright, alright
Gimme that ball and chain now
Oh, oh, shine
Oh, oh, oh, fall Angelica, oh
Oh, oh, oh
Before too long I know
You'll be back in my arms before too long
Lord, save me now
Sweet sound of mercy, such a hard woman to know
Her freedom flies like a golden bird, it's makin' me lose control
All I know is that I love her, sweet Jesus, hear my plea
All I know is that the heartbreak queen is taking a piece of me, of me, of me
Alright, alright
Gimme that ball and chain now
Gimme that ball and chain now
Alright
Well, gimme that ball and chain, yeah
Ooh, oh, yeahEmbedShare Url:CopyEmbed:Copy"
2,Badlands,Dancing on the Edge,"Living on the moonshine
It's the season and I'm insane
Living on the moonshine's a crazy scene
Laughing through the morning sunshine
Rollin' in the rain is all I need, is all I need
Ridin' on the wings of thunder
Blinded by a full moon's light
I'm runnin' like a river full of hunger
Oh, I'm dancin' on the edge tonight
Oh, mama says it's alright
But I'm leaving it all behind
If mama says it's all right, it's fine with me
Runnin' through a distant thunder
In a summer's rain is all I need, is all I need
Ridin' on the wings of thunder
Blinded by a full moon's light
I'm runnin' like a river full of hunger
Oh, I'm dancin' on the edge tonight
Ooh, livin' on the moonshine
It's the season and I'm insane
Livin' on the moonshine's a crazy scene
I'm never, never, never looking back on my time
Gotta keep on movin' do you know what I mean
You know what I mean
Ridin' on the wings of thunder
Blinded by a full moon's light
I'm runnin' like a river full of hunger
OhEmbedShare Url:CopyEmbed:Copy"
3,Badlands,Devil's Stomp,"I needed time to think things over
To heal my soul and ease the pain
And through a glass, a revelation
I could swear I heard the darkness call my name
Imagination's running for too long, oh yeah
The mind we lost can read the senses wrong
I need a shot of realization
I can't believe the things I've seen
'Cause down the bar sat the devil man
As he turned around and smiled he said to me
He said, hey boy, I know what you're looking for
It feels so good to be so bad
Just take a chance, step through my open door
Lord
Now boy, I know you're oh so young and the whole world shines in front of you
But I can give you anything you want and I'll make it so easy for you
All I know is what my mama told me
All I know is what she said
When Beelzebub is sneakin' up on you
You best be dancin' on his head, yeah
Lord, do the devil's stomp
Oh, he made it sound so good stealin' my soul every way
The devil's price hangs on my soul throw a pocket full of gold his way
All I know is what my mama told me
All I know is what she said
When Beelzebub is sneakin' up on you
You best be dancin' on his head, yeah
Lord, do the devil's stomp
Oh yeah, yeah, yeah
Oh, words that'll shimmer like the moonlight house
Oh, feels so good, you know to be so bad
You know, been holding back, baby, for much too long
And I feel it creepin' right in my bones
Yeah, yeah, yeah
Oh, Lord
Lord, do the devil's stomp
Do itEmbedShare Url:CopyEmbed:Copy"
4,Badlands,Dog,"Dogs are howlin' at my door
Wild old eagle's got me scrapin' floor
Mercy, mercy, down on your knees
I know somethin' you can't live without
Dog
Take your time girl
I know somethin'
Telling lies yet I don't say it's so
I know something
Something's wrong now
Tell me like it is sweet little child
Lost in the midnight hour
Lord, oh
Dog
I know something
You can't find out
Time will tell if you're a telling man
Lizard man in a lizard suit now
Just got killed I'm across the road
Lost in the midnight hour
Oh, oh
Dog
Dog
Dogs are howlin' at my door
Dogs won't tell me when I take more
I know somthin'
You won't change
I don't love it you said I'm all the same
Lost in the midnight hour
Lost
Lost in the midnight hour
OhEmbedShare Url:CopyEmbed:Copy"
5,Badlands,Dreams in the Dark,"I remember you baby like a sweet summer song
Said you'd love me forever nothing could ever go wrong
Time's gone by I'm just a memory scarred
I'm lost in a shadow don't know where you are
'Cause yesterday's gone
Dreams carry on
Will you return my way, no
Sing me a sweet, sweet song
Turn out the lights and my love will burn on and on
Hold me until tomorrow
Dreams in the dark
Dreams in the dark
You pushed me, baby a little too far
Turned your back on my lovin' lick my wounds in the bars
Story's been told and a lesson is learned
I know where your love lies and I know where you burn
'Cause yesterday's gone
Dreams carry on
Will you return my way, no
Sing me a sweet, sweet song
Turn out the lights and my love will burn on and on
Hold me until tomorrow
Dreams in the dark
Baby, I know that you're leavin' it's over, it's over, I know
Now that my heart now is bleedin' don't know which way to turn, no no
Sing me a sweet, sweet song
Turn out the lights and my love will burn on and on
Hold me until tomorrow
Dreams in the dark
Sing me a sweet, sweet song
Turn out the lights and my love will burn on and on
Hold me until tomorrow
Dreams in the dark
Dreams in the dark
Dreams in the dark
Oh, oh, ohEmbedShare Url:CopyEmbed:Copy"
6,Badlands,Fat Cat,"Welfare, move instead
Tell 'em that she can't go on
Sad time, won't leave
Feels that ya can't go on
You save your Johnny child
In this troubled world
Better hold on to love
Stealin' time don't look behind
Gotta get out, gotta get out, gotta get out
Before you drop now
Money man, said he's got the plan
Fat cat watches his stuff
Crawl the ladder, always gettin' fatter
Feel that ya can't go on
You save your Johnny child
From his troubled world
Better hold on to love
Stealin' time, tryin' to wait in line
Gotta get out, gotta get out, gotta get out
Hahahaha, ha
Get on out, boy before you drop
Woo hoo
Yeah
Still alone, untimely
One time that you feared
Still wanting and tired of love
Feel that ya can't go on
You save your Johnny child
In this troubled world
Better hold on to love
Stealin' time
Still I wait in line
Gotta get out, gotta get out, gotta get out
Gotta get out, gotta get out, gotta get out
Money bleeds
Crazy world
Yeah, yeah
Woo hoo, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah
Aw hoo!EmbedShare Url:CopyEmbed:Copy"
7,Badlands,Fire and Rain,"Oh oh oh
Just yesterday morning
They never know you were gone
Susan, the plans they made put an end to you
I woke up this morning, and I wrote down this song
I just can't remember who to send it to
Well, I've seen fire, and I've seen rain
I've seen sunny days that I thought would never end
I've seen lonely times when I could not find a friend, yeah
But I always thought that I'd see you again
Won't you look down upon me Jesus
You've got to help me make a stand
I just can't make it through another day
My body's aching, and my time, my time is at end
I just can't make it any other way, yeah
Well, I've seen fire, and I've seen rain
I've seen sunny days that I thought would never end
I've seen lonely times when I could not find a friend, yeah
But I always thought that I'd see you again
Sweet momma you're gone
I'm openin' my mind to easier times
My back turned to the sun
Lord knows, when the cold winds blow
It'll turn your head around
But there's only time on the telephone lines
To talk about the good things to come
Sweet dreams and war machines in pieces on the ground, yeah
Well, I've seen fire, and I've seen rain
I've seen sunny days that I thought would never end
I've seen lonely times when I could not find a friend, yeah
But I always thought that I'd see you again
And your gone, gone, gone, my baby
Sweet times don't wait for me no more
I can't go on living without you by my sideEmbedShare Url:CopyEmbed:Copy"
8,Badlands,Hard Driver,"Tearing down the highway lines
It's a fever that I know
Tonight my burning bridges light the skies
The engine screams for murder
And tonight we're gonna bleed
Pushin' the limit through
On a red light rocket ride
The wheel's on fire, but it's alright, alright
They're gonna burn for me tonight
Hard driver, ridin' alone
'Cause there's no lookin' back and you're never comin' home
Hard driver, you're on your own
Give it all, hard driver
Turn the ship into the wind
Let the engines roar
Curse the gods and let the metal cry
The eyes of total madness
Are the windows to the soul
You'd be a fool to stop on the edge of lost control
The wheel's on fire but it's alright, alright
They're gonna burn for me tonight
Hard driver, ridin' alone
'Cause there's no lookin' back and you're never comin' home
Hard driver, you're on your own
Give it all, hard driver
Ohh
Ohh
Hard driver, ridin' alone
'Cause there's no lookin' back and you're never comin' home, yeah, yeah
Hard driver, you're on your own
Give it all hard driver
Give it all hard driver
And there's no looking back 'cause you're never coming homeEmbedShare Url:CopyEmbed:Copy"
9,Badlands,Healer,"Ah, healin'
Tried to burn the fire inside now it's knockin' at your door
Say hello to karma
Yet through so many lies I wade the truth in time
Will lay you down to rest
All that stands before me
Will turn dark and full of life
Yeah, yeah
You close your eyes, your nightmare sweats and life's a bitch
Say hello my friend
Steady life is on the end, blood will spell your game
All that stands before me
Will turn dark and full of life
Yeah, yeah
Lord I'm healin', oh
All that stands before me
Will turn dark and full of life
Yeah, yeah
Lord I'm healin'
Yes, I'm healin'
Lord I'm healin'
Don't try to steal my soul
Lord I'm healin'
Everybody knows your name
Everybody knows your name
Yeah, karma, karma, karma, karma, karma
Knockin' at your doorEmbedShare Url:CopyEmbed:Copy"
